2023-03-25 13:09:42 Produced message on topic bankmarketing with value of "age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y\n"

2023-03-25 13:09:45 Produced message on topic bankmarketing with value of "56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:09:48 Produced message on topic bankmarketing with value of "57,services,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:09:51 Produced message on topic bankmarketing with value of "37,services,married,high.school,no,yes,no,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:09:54 Produced message on topic bankmarketing with value of "40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:09:57 Produced message on topic bankmarketing with value of "56,services,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:00 Produced message on topic bankmarketing with value of "45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:03 Produced message on topic bankmarketing with value of "59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:06 Produced message on topic bankmarketing with value of "41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:09 Produced message on topic bankmarketing with value of "24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:12 Produced message on topic bankmarketing with value of "25,services,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:15 Produced message on topic bankmarketing with value of "41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:18 Produced message on topic bankmarketing with value of "25,services,single,high.school,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:21 Produced message on topic bankmarketing with value of "29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:24 Produced message on topic bankmarketing with value of "57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no\n"

2023-03-25 13:10:27 Produced message on topic bankmarketing with value of "35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no"

